@timestamp,@message,@logStream,@log
2024-03-17 14:35:05.173,"{""time"":""2024-03-17T14:35:05.173544045Z"",""stream"":""stderr"",""_p"":""F"",""log"":""[2024-03-17 14:35:05,173] INFO in app: {'2023-02-12': 176, '2023-02-13': 196, '2023-02-09': 179, '2023-02-11': 147, '2023-02-14': 142, '2023-02-07': 40, '2023-02-10': 158, '2023-02-08': 203}"",""kubernetes"":{""pod_name"":""coworking-79b598b494-dmvbc"",""namespace_name"":""default"",""pod_id"":""2b146ce1-5bed-4157-bac3-f7c5c49f1e21"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""coworking"",""docker_id"":""48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451"",""container_hash"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository@sha256:f3bd205f8258159ac94f74505cd666cba680227504f0bc7bfb84e2147fb613c0"",""container_image"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository:latest""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.coworking-79b598b494-dmvbc_default_coworking-48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:35:02.330,"{""time"":""2024-03-17T14:35:02.330214733Z"",""stream"":""stderr"",""_p"":""F"",""log"":""192.168.25.221 - - [17/Mar/2024 14:35:02] \""GET /readiness_check HTTP/1.1\"" 200 -"",""kubernetes"":{""pod_name"":""coworking-79b598b494-dmvbc"",""namespace_name"":""default"",""pod_id"":""2b146ce1-5bed-4157-bac3-f7c5c49f1e21"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""coworking"",""docker_id"":""48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451"",""container_hash"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository@sha256:f3bd205f8258159ac94f74505cd666cba680227504f0bc7bfb84e2147fb613c0"",""container_image"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository:latest""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.coworking-79b598b494-dmvbc_default_coworking-48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:35:02.325,"{""time"":""2024-03-17T14:35:02.325996831Z"",""stream"":""stderr"",""_p"":""F"",""log"":""192.168.25.221 - - [17/Mar/2024 14:35:02] \""GET /health_check HTTP/1.1\"" 200 -"",""kubernetes"":{""pod_name"":""coworking-79b598b494-dmvbc"",""namespace_name"":""default"",""pod_id"":""2b146ce1-5bed-4157-bac3-f7c5c49f1e21"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""coworking"",""docker_id"":""48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451"",""container_hash"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository@sha256:f3bd205f8258159ac94f74505cd666cba680227504f0bc7bfb84e2147fb613c0"",""container_image"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository:latest""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.coworking-79b598b494-dmvbc_default_coworking-48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:59.418,"{""time"":""2024-03-17T14:34:59.418302572Z"",""stream"":""stderr"",""_p"":""F"",""log"":""E0317 14:34:59.418237       1 reflector.go:147] k8s.io/client-go@v0.28.3/tools/cache/reflector.go:229: Failed to watch *v1.Service: failed to list *v1.Service: services is forbidden: User \""system:serviceaccount:amazon-cloudwatch:cloudwatch-agent\"" cannot list resource \""services\"" in API group \""\"" in the namespace \""amazon-cloudwatch\"""",""kubernetes"":{""pod_name"":""cloudwatch-agent-npnpz"",""namespace_name"":""amazon-cloudwatch"",""pod_id"":""9c371329-3bfe-4bed-a0b0-5a57955a0223"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""cloudwatch-agent"",""docker_id"":""6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee"",""container_hash"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent@sha256:9e852d5058837ecec808c700e1d4d5083cc7bb133390ff01cdcb429575fe38da"",""container_image"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent:1.300034.0b498""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.cloudwatch-agent-npnpz_amazon-cloudwatch_cloudwatch-agent-6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:59.418,"{""time"":""2024-03-17T14:34:59.418238434Z"",""stream"":""stderr"",""_p"":""F"",""log"":""W0317 14:34:59.418123       1 reflector.go:535] k8s.io/client-go@v0.28.3/tools/cache/reflector.go:229: failed to list *v1.Service: services is forbidden: User \""system:serviceaccount:amazon-cloudwatch:cloudwatch-agent\"" cannot list resource \""services\"" in API group \""\"" in the namespace \""amazon-cloudwatch\"""",""kubernetes"":{""pod_name"":""cloudwatch-agent-npnpz"",""namespace_name"":""amazon-cloudwatch"",""pod_id"":""9c371329-3bfe-4bed-a0b0-5a57955a0223"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""cloudwatch-agent"",""docker_id"":""6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee"",""container_hash"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent@sha256:9e852d5058837ecec808c700e1d4d5083cc7bb133390ff01cdcb429575fe38da"",""container_image"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent:1.300034.0b498""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.cloudwatch-agent-npnpz_amazon-cloudwatch_cloudwatch-agent-6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:58.215,"{""time"":""2024-03-17T14:34:58.21509378Z"",""stream"":""stderr"",""_p"":""F"",""log"":""2024-03-17T14:34:58Z I! {\""caller\"":\""awsemfexporter@v0.89.0/emf_exporter.go:119\"",\""msg\"":\""Start processing resource metrics\"",\""kind\"":\""exporter\"",\""data_type\"":\""metrics\"",\""name\"":\""awsemf/containerinsights\"",\""labels\"":{\""http.scheme\"":\""https\"",\""k8s.namespace.name\"":\""amazon-cloudwatch\"",\""net.host.name\"":\""dcgm-exporter-service.amazon-cloudwatch.svc\"",\""net.host.port\"":\""9400\"",\""service.instance.id\"":\""dcgm-exporter-service.amazon-cloudwatch.svc:9400\"",\""service.name\"":\""containerInsightsDCGMExporterScraper\""}}"",""kubernetes"":{""pod_name"":""cloudwatch-agent-npnpz"",""namespace_name"":""amazon-cloudwatch"",""pod_id"":""9c371329-3bfe-4bed-a0b0-5a57955a0223"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""cloudwatch-agent"",""docker_id"":""6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee"",""container_hash"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent@sha256:9e852d5058837ecec808c700e1d4d5083cc7bb133390ff01cdcb429575fe38da"",""container_image"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent:1.300034.0b498""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.cloudwatch-agent-npnpz_amazon-cloudwatch_cloudwatch-agent-6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:58.215,"{""time"":""2024-03-17T14:34:58.215481268Z"",""stream"":""stderr"",""_p"":""F"",""log"":""2024-03-17T14:34:58Z I! {\""caller\"":\""awsemfexporter@v0.89.0/emf_exporter.go:175\"",\""msg\"":\""Finish processing resource metrics\"",\""kind\"":\""exporter\"",\""data_type\"":\""metrics\"",\""name\"":\""awsemf/containerinsights\"",\""labels\"":{\""http.scheme\"":\""https\"",\""k8s.namespace.name\"":\""amazon-cloudwatch\"",\""net.host.name\"":\""dcgm-exporter-service.amazon-cloudwatch.svc\"",\""net.host.port\"":\""9400\"",\""service.instance.id\"":\""dcgm-exporter-service.amazon-cloudwatch.svc:9400\"",\""service.name\"":\""containerInsightsDCGMExporterScraper\""}}"",""kubernetes"":{""pod_name"":""cloudwatch-agent-npnpz"",""namespace_name"":""amazon-cloudwatch"",""pod_id"":""9c371329-3bfe-4bed-a0b0-5a57955a0223"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""cloudwatch-agent"",""docker_id"":""6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee"",""container_hash"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent@sha256:9e852d5058837ecec808c700e1d4d5083cc7bb133390ff01cdcb429575fe38da"",""container_image"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent:1.300034.0b498""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.cloudwatch-agent-npnpz_amazon-cloudwatch_cloudwatch-agent-6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:56.598,"{""time"":""2024-03-17T14:34:56.598587407Z"",""stream"":""stderr"",""_p"":""F"",""log"":""2024-03-17T14:34:56Z W! {\""caller\"":\""internal/transaction.go:123\"",\""msg\"":\""Failed to scrape Prometheus endpoint\"",\""kind\"":\""receiver\"",\""name\"":\""awscontainerinsightreceiver\"",\""data_type\"":\""metrics\"",\""scrape_timestamp\"":1710686096535,\""target_labels\"":\""{__name__=\\\""up\\\"", instance=\\\""dcgm-exporter-service.amazon-cloudwatch.svc:9400\\\"", job=\\\""containerInsightsDCGMExporterScraper\\\""}\""}"",""kubernetes"":{""pod_name"":""cloudwatch-agent-npnpz"",""namespace_name"":""amazon-cloudwatch"",""pod_id"":""9c371329-3bfe-4bed-a0b0-5a57955a0223"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""cloudwatch-agent"",""docker_id"":""6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee"",""container_hash"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent@sha256:9e852d5058837ecec808c700e1d4d5083cc7bb133390ff01cdcb429575fe38da"",""container_image"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent:1.300034.0b498""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.cloudwatch-agent-npnpz_amazon-cloudwatch_cloudwatch-agent-6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:52.332,"{""time"":""2024-03-17T14:34:52.332252773Z"",""stream"":""stderr"",""_p"":""F"",""log"":""192.168.25.221 - - [17/Mar/2024 14:34:52] \""GET /health_check HTTP/1.1\"" 200 -"",""kubernetes"":{""pod_name"":""coworking-79b598b494-dmvbc"",""namespace_name"":""default"",""pod_id"":""2b146ce1-5bed-4157-bac3-f7c5c49f1e21"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""coworking"",""docker_id"":""48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451"",""container_hash"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository@sha256:f3bd205f8258159ac94f74505cd666cba680227504f0bc7bfb84e2147fb613c0"",""container_image"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository:latest""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.coworking-79b598b494-dmvbc_default_coworking-48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:52.330,"{""time"":""2024-03-17T14:34:52.33098087Z"",""stream"":""stderr"",""_p"":""F"",""log"":""192.168.25.221 - - [17/Mar/2024 14:34:52] \""GET /readiness_check HTTP/1.1\"" 200 -"",""kubernetes"":{""pod_name"":""coworking-79b598b494-dmvbc"",""namespace_name"":""default"",""pod_id"":""2b146ce1-5bed-4157-bac3-f7c5c49f1e21"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""coworking"",""docker_id"":""48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451"",""container_hash"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository@sha256:f3bd205f8258159ac94f74505cd666cba680227504f0bc7bfb84e2147fb613c0"",""container_image"":""559873331581.dkr.ecr.us-east-1.amazonaws.com/coworking-repository:latest""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.coworking-79b598b494-dmvbc_default_coworking-48a0df4be3939338623e5589d2be9cc9671b4eb8b729ce1f0dd090096f97b451.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
2024-03-17 14:34:50.901,"{""time"":""2024-03-17T14:34:50.901205923Z"",""stream"":""stderr"",""_p"":""F"",""log"":""W0317 14:34:50.901082       1 reflector.go:535] k8s.io/client-go@v0.28.3/tools/cache/reflector.go:229: failed to list *v1.Service: services is forbidden: User \""system:serviceaccount:amazon-cloudwatch:cloudwatch-agent\"" cannot list resource \""services\"" in API group \""\"" at the cluster scope"",""kubernetes"":{""pod_name"":""cloudwatch-agent-npnpz"",""namespace_name"":""amazon-cloudwatch"",""pod_id"":""9c371329-3bfe-4bed-a0b0-5a57955a0223"",""host"":""ip-192-168-25-221.ec2.internal"",""container_name"":""cloudwatch-agent"",""docker_id"":""6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee"",""container_hash"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent@sha256:9e852d5058837ecec808c700e1d4d5083cc7bb133390ff01cdcb429575fe38da"",""container_image"":""public.ecr.aws/cloudwatch-agent/cloudwatch-agent:1.300034.0b498""}}",ip-192-168-25-221.ec2.internal-application.var.log.containers.cloudwatch-agent-npnpz_amazon-cloudwatch_cloudwatch-agent-6d2a68942ab4f5be622147535d57cec952a9920a44c69da09ead89ed95519cee.log,559873331581:/aws/containerinsights/coworking-cluster-4/application
